file,count,avg_viability,avg_circularity,avg_intensity,radius (area / pi),pct_analyzed,background_intenstiy,avg_area
20230406_d1-20um_GEM_e7.png,16,64.11,0.42562,138.54,,1.0112311385459534,175.07671812431536,737.19
20230406_d1-20um_GEM_f7.png,40,75.29,0.44875,147.38,,3.6875,177.16743630736528,1075.28
20230406_d1-20um_GEM_g7.png,29,63.24,0.44586,141.81,,2.7199931412894376,178.6975341266739,1094.0
20230406_d1-5um_GEM_b10.png,32,70.14,0.48531,150.78,,1.5383230452674896,183.60983144181048,560.72
20230406_d1-5um_GEM_c10.png,26,66.34,0.43308,145.6,,1.8087277091906722,181.00833299096945,811.42
20230406_d1-5um_GEM_d10.png,22,74.61,0.49409,150.84,,0.9084362139917695,181.06719357660694,481.64
20230406_d1-5um_GEM_e10.png,14,72.12,0.47429,150.99,,0.72599451303155,182.71744062193082,604.86
20230406_d1-5um_GEM_f10.png,25,74.91,0.4592,152.99,,1.2050754458161865,182.6844826777766,562.24
20230406_d1-5um_GEM_g10.png,18,68.67,0.40667,147.91,,1.7683470507544583,181.7025205854804,1145.89
20230406_d1-control_b2.png,36,76.11,0.48028,148.23,,2.004458161865569,177.38716048034837,649.44
20230406_d1-control_b3.png,28,68.07,0.44821,143.91,,1.8660836762688613,178.06366527854615,777.36
20230406_d1-control_b4.png,33,75.75,0.46242,149.83,,3.4323559670781894,179.3541690965214,1213.18
20230406_d1-control_b5.png,38,74.48,0.47053,148.54,,1.7899519890260631,178.83064865238316,549.42
20230406_d1-control_b6.png,19,80.25,0.45632,147.65,,1.4573045267489713,173.99928099316458,894.63
20230406_d1-control_c2.png,35,73.08,0.47114,147.94,,1.6923010973936898,178.91620459768106,563.97
20230406_d1-control_c3.png,38,66.78,0.48132,145.8,,3.4560185185185186,180.69311550574287,1060.82
20230406_d1-control_c4.png,30,73.43,0.458,148.47,,1.642661179698217,178.95649089516002,638.67
20230406_d1-control_c5.png,24,71.22,0.46833,143.58,,1.5017146776406036,175.13041863417288,729.83
20230406_d1-control_c6.png,36,70.81,0.45778,144.36,,1.9484739368998627,176.9621697810549,631.31
20230406_d1-control_d2.png,31,71.99,0.42129,147.57,,2.5989368998628257,179.37576834947413,977.87
